,text,author_id,public_metrics,created_at,id,query_description,tags,withheld,"('english_score', 'universal_score')"
0,@MadamTwelve Thank you so much  Hilda and Jesse for supporting Defund police and #BlackLivesMatter !   Good to see more small business owners to stand up and fight against police officers!,1055999900482064385,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-06T22:49:41+00:00,1467989650958548993,Testing the search with loops,#race##BLM#Test,,"(0.18, 0.21)"
1,"🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
📺New video PREMIERING NOW!!📺
https://t.co/d1iZ3H2sBG

Black 🤴🏿 on black 🤴🏿 crime is only true because WE make it true!!!

#blacklivesmatter #blackonblack #BlackKings #policebrutality #police #BlackKillings https://t.co/yQywS2yBfy",812317370383527936,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:49:01+00:00,1467989481676578816,Testing the search with loops,#race##BLM#Test,,"(0.09, 0.11)"
2,"RT @TheLeoTerrell: Attention #BlackLivesMatter .  I will not boycott “white companies.”  Moreover, you do not represent me nor 99.999 of Bl…",786198604792946688,"{'retweet_count': 2007, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:48:57+00:00,1467989467583684615,Testing the search with loops,#race##BLM#Test,,"(0.76, 0.77)"
3,@sfironicle Thank you so much for supporting Defund police and #BlackLivesMatter !   Good to see more small business owners to stand up and fight against police officers!,1055999900482064385,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-06T22:47:39+00:00,1467989140981510147,Testing the search with loops,#race##BLM#Test,,"(0.18, 0.21)"
4,.#BlackLivesMatter  https://t.co/GyteoAlRFq,930594155973226496,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:46:59+00:00,1467988973066891265,Testing the search with loops,#race##BLM#Test,,"(0.26, 0.35)"
5,RT @MikeDunnAuthor: Today in Labor #History 12/61810: Miguel Hidalgo decreed an end to #slavery in #Mexico. But slavery didn't truly end un…,1011981401439326208,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:46:46+00:00,1467988916057915392,Testing the search with loops,#race##BLM#Test,,"(0.41, 0.42)"
6,"RT @ShechangesE: Please help return Jami Henry safely home to her family. She was last seen in Kennesaw, Georgia. Please retweet.
#SaveJami…",198327794,"{'retweet_count': 18, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:46:28+00:00,1467988842338832389,Testing the search with loops,#race##BLM#Test,,"(0.76, 0.86)"
7,RT @PaulHoward_IMIT: @OttawaCitizen @Spencerpress so what are we going to do about gun violence @JimWatsonOttawa you can’t keep ignoring “r…,1729193269,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:46:25+00:00,1467988831165112325,Testing the search with loops,#race##BLM#Test,,"(0.68, 0.53)"
8,@StanleyRoberts Thank you so much for supporting Defund police and #BlackLivesMatter !   Good to see more small business owners to stand up and fight against police officers!,1055999900482064385,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-06T22:45:48+00:00,1467988676114214916,Testing the search with loops,#race##BLM#Test,,"(0.18, 0.21)"
9,"I can do anything for black https://t.co/XBI3Jh3Y7g♠️ 

#blacked #bbc #bbconly #bbcowned #BlackLivesMatter #bnwo #snowbunny https://t.co/LJwEknASJY",1467807081814233092,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:45:46+00:00,1467988667188666372,Testing the search with loops,#race##BLM#Test,,"(0.03, 0.04)"
10,"#GenocideGames
#StopAsianHateCrimes  
#StopAsianHate  
#StopAAPIHate 
#Bannon
#DrLiMengYan1
#闫丽梦 
#郭文贵
#LiMengYan
#YanLiMeng https://t.co/YHl8iLlJKP",1433744963162939393,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:49:59+00:00,1467989726019817472,Testing the search with loops,#race##BLM#Test,,"(0.02, 0.01)"
11,"#GenocideGames
#StopAsianHateCrimes  
#StopAsianHate  
#StopAAPIHate 
#Bannon
#DrLiMengYan1
#闫丽梦 
#郭文贵
#LiMengYan
#YanLiMeng https://t.co/gVXdrfU2hz",1433746323140796419,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:48:47+00:00,1467989424126316544,Testing the search with loops,#race##BLM#Test,,"(0.02, 0.01)"
12,RT @chinanotenemy: Build Back Better... McCarthyism? The #USICA bill will further fuel domestic xenophobia and racism through McCarthyist s…,78651472,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:48:17+00:00,1467989299132088324,Testing the search with loops,#race##BLM#Test,,"(0.35, 0.36)"
13,"#GenocideGames
#StopAsianHateCrimes  
#StopAsianHate  
#StopAAPIHate 
#Bannon
#DrLiMengYan1
#闫丽梦 
#郭文贵
#LiMengYan
#YanLiMeng https://t.co/HKsN5hNnew",1435139026671992833,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:47:27+00:00,1467989090041688065,Testing the search with loops,#race##BLM#Test,,"(0.03, 0.01)"
14,"RT @chinanotenemy: ""The initiative was supposed to focus on economic espionage, but it has increasingly charged academics with 'research in…",524810888,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-06T22:46:10+00:00,1467988767885729793,Testing the search with loops,#race##BLM#Test,,"(0.22, 0.22)"
